"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"280252","SEWANHAKA CENTRAL HS DISTRICT","7-12, US","3626520","280252",6,"2890",2016
"280253","BELLMORE-MERRICK CENTRAL HS DISTRICT","7-12, UE, US","3619020","280253",6,"2890",2016
"280300","LONG BEACH CITY SD","PK-12, UE, US","3617730","280300",5,"2890",2016
"280401","WESTBURY UFSD","PK-12, UE","3630960","280401",3,"2890",2016
"280402","EAST WILLISTON UFSD","K-12, US","3610050","280402",6,"2890",2016
"280403","ROSLYN UFSD","PK-12, UE, US","3625050","280403",6,"2890",2016
"280404","PORT WASHINGTON UFSD","PK-12, UE, US","3623580","280404",6,"2890",2016
"280405","NEW HYDE PARK-GARDEN CITY PARK UFSD","PK-6, UE","3620400","280405",6,"2890",2016
"280406","MANHASSET UFSD","K-12, UE, US","3618270","280406",6,"2890",2016
"280407","GREAT NECK UFSD","PK-12, UE, US","3612510","280407",6,"2890",2016
"280409","HERRICKS UFSD","PK-12, UE, US","3614280","280409",6,"2890",2016
"280410","MINEOLA UFSD","PK-12, UE, US","3619500","280410",6,"2890",2016
"280411","CARLE PLACE UFSD","K-12, UE, US","3606540","280411",6,"2890",2016
"280501","NORTH SHORE CSD","K-12, UE, US","3626370","280501",6,"2890",2016
"280502","SYOSSET CSD","K-12, UE, US","3628560","280502",6,"2890",2016
"280503","LOCUST VALLEY CSD","K-12, UE","3617700","280503",6,"2890",2016
"280504","PLAINVIEW-OLD BETHPAGE CSD","K-12, UE, US","3623220","280504",6,"2890",2016
"280506","OYSTER BAY-EAST NORWICH CSD","PK-12, UE, US","3622290","280506",6,"2890",2016
"280515","JERICHO UFSD","K-12, UE, US","3615810","280515",6,"2890",2016
"280517","HICKSVILLE UFSD","PK-12, UE, US","3614340","280517",5,"2890",2016
"280518","PLAINEDGE UFSD","K-12, UE, US","3623190","280518",6,"2890",2016
"280521","BETHPAGE UFSD","K-12, UE, US","3604740","280521",6,"2890",2016
"280522","FARMINGDALE UFSD","PK-12, UE, US","3610980","280522",5,"2890",2016
"280523","MASSAPEQUA UFSD","K-12, UE, US","3618630","280523",6,"2890",2016
"307500","NYC SPECIAL SCHOOLS","K-12, UE, US","","",1,"3090",2016
"310100","NYC GEOG DIST 1","PK-12, UE, US","","310100",1,"3090",2016
"310200","NYC GEOG DIST 2","PK-12, UE, US","","310200",1,"3090",2016
"310300","NYC GEOG DIST 3","PK-12, UE, US","","310300",1,"3090",2016
"310400","NYC GEOG DIST 4","PK-12, UE, US","","310400",1,"3090",2016
"310500","NYC GEOG DIST 5","PK-12, UE, US","","310500",1,"3090",2016
"310600","NYC GEOG DIST 6","PK-12, UE, US","","310600",1,"3090",2016
"320700","NYC GEOG DIST 7","PK-12, UE, US","","320700",1,"3090",2016
"320800","NYC GEOG DIST 8","PK-12, UE, US","","320800",1,"3090",2016
"320900","NYC GEOG DIST 9","PK-12, UE, US","","320900",1,"3090",2016
"321000","NYC GEOG DIST 10","PK-12, UE, US","","321000",1,"3090",2016
"321100","NYC GEOG DIST 11","PK-12, UE, US","","321100",1,"3090",2016
"321200","NYC GEOG DIST 12","PK-12, UE, US","","321200",1,"3090",2016
"331300","NYC GEOG DIST 13","PK-12, UE, US","","331300",1,"3090",2016
"331400","NYC GEOG DIST 14","PK-12, UE, US","","331400",1,"3090",2016
"331500","NYC GEOG DIST 15","PK-12, UE, US","","331500",1,"3090",2016
"331600","NYC GEOG DIST 16","PK-12, UE, US","","331600",1,"3090",2016
"331700","NYC GEOG DIST 17","PK-12, UE, US","","331700",1,"3090",2016
"331800","NYC GEOG DIST 18","PK-12, UE, US","","331800",1,"3090",2016
"331900","NYC GEOG DIST 19","PK-12, UE, US","","331900",1,"3090",2016
"332000","NYC GEOG DIST 20","PK-12, UE, US","","332000",1,"3090",2016
"332100","NYC GEOG DIST 21","PK-12, UE, US","","332100",1,"3090",2016
"332200","NYC GEOG DIST 22","PK-12, UE, US","","332200",1,"3090",2016
"332300","NYC GEOG DIST 23","PK-12, UE, US","","332300",1,"3090",2016
"333200","NYC GEOG DIST 32","PK-12, UE, US","","333200",1,"3090",2016
"342400","NYC GEOG DIST 24","PK-12, UE, US","","342400",1,"3090",2016
"342500","NYC GEOG DIST 25","PK-12, UE, US","","342500",1,"3090",2016
"342600","NYC GEOG DIST 26","PK-12, UE, US","","342600",1,"3090",2016
"342700","NYC GEOG DIST 27","PK-12, UE, US","","342700",1,"3090",2016
"342800","NYC GEOG DIST 28","PK-12, UE, US","","342800",1,"3090",2016
"342900","NYC GEOG DIST 29","PK-12, UE, US","","342900",1,"3090",2016
"343000","NYC GEOG DIST 30","PK-12, UE, US","","343000",1,"3090",2016
"353100","NYC GEOG DIST 31","PK-12, UE, US","","353100",1,"3090",2016
