COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
CATTARAUGUS,4.32,0.0,1.34,48.17,49.83,,77.68,0.16,,50.17,0.0,0.69,51.83,,0.0,11.38,51.57,89.22,4,,,0.0,0.0,0.0,,,,,,,,,,
CAYUGA,0.0,0.0,4.91,37.86,50.12,,65.87,1.86,,49.88,0.0,0.54,62.14,,0.0,7.55,64.68,86.35,5,,,0.0,0.0,0.0,,,,,,,,,,
CHAUTAUQUA,0.64,0.17,0.64,47.31,49.82,,72.74,10.18,,50.18,0.09,2.32,52.69,,2.4,9.54,42.45,87.61,6,,,1.94,31.89,0.64,,,,,,,,,,
CHEMUNG,0.0,1.2,11.2,44.23,49.95,,88.96,2.21,,50.05,0.0,0.68,55.77,,0.0,11.04,76.44,78.9,7,,,0.0,0.0,0.0,,,,,,,,,,
CHENANGO,0.0,0.0,0.27,51.63,50.09,,75.14,0.54,,49.91,0.0,0.0,48.37,,0.0,14.38,35.21,90.43,8,,,0.0,0.0,0.0,,,,,,,,,,
CLINTON,0.15,0.0,1.48,42.53,48.4,,79.92,0.0,,51.6,0.0,0.18,57.47,,0.0,17.94,60.97,87.93,9,,,0.0,0.0,0.0,,,,,,,,,,
COLUMBIA,0.0,2.68,5.58,44.3,47.72,,78.86,3.97,,51.5,0.23,1.29,54.91,,5.95,14.58,65.81,87.45,10,,,0.97,16.84,0.0,,,,,,,,,,
CORTLAND,0.0,0.0,0.79,40.41,45.98,,82.4,0.74,,54.02,0.0,0.84,59.59,,0.0,12.98,51.66,89.86,11,,,0.0,0.0,0.0,,,,,,,,,,
DELAWARE,0.0,0.0,0.0,46.64,48.57,,55.75,0.0,,49.45,0.0,0.0,51.37,,0.0,12.26,30.06,90.37,12,,,0.0,0.0,0.0,,,,,,,,,,
DUTCHESS,0.0,2.73,11.2,30.39,49.43,,87.85,12.77,,50.57,0.0,0.81,69.61,,0.0,12.15,67.8,88.89,13,,,0.84,26.52,0.0,,,,,,,,,,
ERIE,0.23,3.7,17.59,40.97,49.87,,85.73,6.04,,50.0,0.0,0.63,57.97,,0.0,12.99,62.65,85.83,14,,,2.93,17.17,0.75,,,,,,,,,,
ESSEX,0.0,0.0,0.0,41.67,45.86,,51.49,0.0,,45.77,0.0,0.0,50.64,,0.0,10.85,10.42,91.37,15,,,0.0,0.0,0.0,,,,,,,,,,
FRANKLIN,11.42,0.0,0.0,51.17,47.8,,81.34,0.0,,51.53,0.0,0.0,48.83,,0.0,17.99,34.08,87.32,16,,,0.0,0.0,0.0,,,,,,,,,,
FULTON,0.0,0.21,2.44,45.99,48.1,,82.98,0.87,,51.9,0.0,0.83,54.01,,0.0,15.91,74.63,81.4,17,,,0.0,0.0,0.0,,,,,,,,,,
GENESEE,0.0,0.0,1.11,40.53,48.81,,80.11,2.03,,51.19,0.0,1.35,59.47,,0.0,11.38,49.16,93.6,18,,,0.0,0.0,0.0,,,,,,,,,,
GREENE,0.0,0.0,4.04,39.64,52.02,,78.88,2.76,,47.98,0.0,1.05,60.36,,0.0,14.59,64.79,90.82,19,,,0.0,0.0,0.0,,,,,,,,,,
HAMILTON,0.0,0.0,0.0,27.36,11.32,,0.0,0.0,,15.09,0.0,0.0,21.7,,0.0,0.0,0.0,91.51,20,,,0.0,0.0,0.0,,,,,,,,,,
HERKIMER,0.0,0.0,0.0,48.08,49.5,,75.47,0.0,,47.64,0.0,0.0,48.25,,0.0,12.79,46.94,84.15,21,,,0.0,0.0,0.0,,,,,,,,,,
JEFFERSON,0.0,0.32,4.67,47.79,49.03,,77.84,5.0,,50.97,0.0,2.31,52.21,,0.0,15.16,64.79,87.84,22,,,0.0,0.0,0.0,,,,,,,,,,
KINGS,0.06,15.26,38.47,73.58,46.78,,80.83,23.35,,51.57,0.0,0.55,25.01,,0.0,15.64,12.75,79.2,33,,,6.45,49.63,4.55,,,,,,,,,,
