AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
80601040003,0.0,0.0,0.0,40.8,0.0,46.55,88.79,0.0,53.45,0.0,0.0,0.0,59.2,0.0,11.21,0.0,93.39,GREENE HIGH SCHOOL,8,CHENANGO,2016
81003040003,0.0,0.0,0.0,61.62,0.0,52.4,86.35,0.0,47.6,0.0,0.0,0.0,38.38,0.0,13.65,22.51,84.5,UNADILLA VALLEY SECONDARY SCHOOL,8,CHENANGO,2016
81200050004,0.0,0.0,0.0,44.92,0.0,48.71,80.38,1.03,51.29,0.0,0.0,0.0,55.08,0.0,19.62,93.46,83.13,NORWICH HIGH SCHOOL,8,CHENANGO,2016
81401040001,0.0,0.0,0.0,59.22,0.0,45.63,28.16,0.0,54.37,0.0,0.0,0.0,40.78,0.0,6.8,0.0,93.2,OTSELIC VALLEY CENTRAL SCHOOL,8,CHENANGO,2016
81501040002,0.0,0.0,0.0,59.0,0.0,52.72,86.61,0.0,47.28,0.0,0.0,0.0,41.0,0.0,13.39,43.51,91.63,OXFORD ACADEMY HIGH SCHOOL,8,CHENANGO,2016
82001040004,0.0,0.0,0.0,44.42,0.0,52.73,86.7,0.0,47.27,0.0,0.0,0.0,55.58,0.0,13.3,0.0,92.4,SHERBURNE-EARLVILLE SENIOR HIGH SCH,8,CHENANGO,2016
90201040002,0.0,0.0,0.0,44.1,0.0,46.41,85.9,0.0,53.59,0.0,0.0,0.0,55.9,0.0,14.1,46.15,81.03,AUSABLE VALLEY HIGH SCHOOL,9,CLINTON,2016
90301060006,0.0,0.0,0.0,48.98,0.0,50.0,82.88,0.0,50.0,0.0,0.0,0.0,51.02,0.0,17.12,69.83,86.78,BEEKMANTOWN HIGH SCHOOL,9,CLINTON,2016
90501040002,0.0,0.0,0.0,40.52,0.0,49.29,80.09,0.0,50.71,0.0,0.0,0.0,59.48,0.0,19.91,42.18,89.81,NORTHEASTERN CLINTON SR HIGH SCHOOL,9,CLINTON,2016
90601020002,0.0,0.0,0.0,23.33,0.0,57.33,42.67,0.0,42.67,0.0,0.0,0.0,76.67,0.0,6.67,0.0,95.33,CHAZY CENTRAL RURAL JUNIOR-SENIOR HS,9,CLINTON,2016
90901040002,0.0,0.0,0.0,42.53,0.0,45.21,63.98,0.0,54.79,0.0,0.0,0.0,57.47,0.0,9.96,0.0,86.21,NORTHERN ADIRONDACK MID/HIGH SCH,9,CLINTON,2016
91101060005,0.0,0.0,1.6,35.26,0.0,44.39,82.85,0.0,55.61,0.0,0.0,0.0,64.74,0.0,17.15,93.91,82.69,PERU JR/SR HIGH SCHOOL,9,CLINTON,2016
91200010006,0.0,0.0,6.91,44.91,0.0,51.45,81.09,0.0,48.55,0.0,0.0,0.0,55.09,0.0,18.91,88.73,83.64,PLATTSBURGH SENIOR HIGH SCHOOL,9,CLINTON,2016
91402060005,0.0,0.0,0.0,27.78,0.0,55.13,82.26,0.0,44.87,0.0,0.0,0.0,72.22,0.0,17.74,0.0,92.52,SARANAC HIGH SCHOOL,9,CLINTON,2016
100308020001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,9.38,BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,10,COLUMBIA,2016
100501040003,0.0,0.0,1.91,47.02,0.0,47.97,79.0,0.0,52.03,0.0,0.0,0.0,52.98,0.0,21.0,88.07,86.16,TACONIC HILLS JUNIOR/SENIOR HIGH,10,COLUMBIA,2016
100902040004,0.0,0.0,0.0,28.85,0.0,46.79,60.26,0.0,53.21,0.0,0.0,0.0,71.15,0.0,12.18,0.0,91.03,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,10,COLUMBIA,2016
